transaction_date,day_of_week,city,transaction_type,type,amount_USD
3/7/24,Thursday,bariloche,credit,accommodation,33.55
3/24/24,Sunday,bolson,credit,accommodation,20.65
3/26/24,Tuesday,bariloche,cash,accommodation,179.38
3/30/24,Saturday,bolson,cash,accommodation,89.69
3/30/24,Saturday,chalten,credit,accommodation,19.03
4/2/24,Tuesday,chalten,cash,accommodation,83.08
4/3/24,Wednesday,chalten,cash,accommodation,94.41
4/3/24,Wednesday,chalten,cash,accommodation,47.2
4/3/24,Wednesday,calafate,credit,accommodation,14.77
4/5/24,Friday,calafate,credit,accommodation,73.36
4/8/24,Monday,calafate,credit,accommodation,36.77
4/8/24,Monday,puerto natales,credit,accommodation,104.87
4/8/24,Monday,puerto natales,credit,accommodation,15.94
4/12/24,Friday,ushuaia,credit,accommodation,305.75
3/20/24,Wednesday,bariloche,cash,eating out,1.99
3/21/24,Thursday,bariloche,cash,eating out,27.87
3/21/24,Thursday,bariloche,credit,eating out,31.54
3/22/24,Friday,bariloche,credit,eating out,33.1
3/23/24,Saturday,bariloche,cash,eating out,2.99
3/23/24,Saturday,bariloche,credit,eating out,14.58
3/23/24,Saturday,bariloche,credit,eating out,28.44
3/25/24,Monday,bariloche,cash,eating out,1.89
3/25/24,Monday,bariloche,credit,eating out,21.62
3/25/24,Monday,bariloche,credit,eating out,47.11
3/26/24,Tuesday,bariloche,cash,eating out,9.44
3/26/24,Tuesday,bariloche,credit,eating out,16.76
3/27/24,Wednesday,bolson,credit,eating out,24.92
3/29/24,Friday,bolson,cash,eating out,3.78
3/29/24,Friday,bolson,credit,eating out,40.46
3/30/24,Saturday,bolson,cash,eating out,37.76
3/31/24,Sunday,chalten,credit,eating out,30.88
3/31/24,Sunday,chalten,credit,eating out,33.22
3/31/24,Sunday,chalten,credit,eating out,35.14
4/1/24,Monday,chalten,credit,eating out,50.04
4/1/24,Monday,chalten,credit,eating out,25.02
4/2/24,Tuesday,chalten,cash,eating out,2.83
4/2/24,Tuesday,chalten,credit,eating out,47.91
4/2/24,Tuesday,chalten,credit,eating out,28.11
4/3/24,Wednesday,chalten,cash,eating out,1.89
4/3/24,Wednesday,chalten,cash,eating out,0.94
4/3/24,Wednesday,chalten,cash,eating out,35.88
4/3/24,Wednesday,chalten,credit,eating out,18.1
4/4/24,Thursday,chalten,cash,eating out,2.83
4/5/24,Friday,chalten,credit,eating out,34.31
4/6/24,Saturday,calafate,cash,eating out,20.49
4/6/24,Saturday,calafate,credit,eating out,29.45
4/7/24,Sunday,calafate,credit,eating out,44.34
4/8/24,Monday,puerto natales,credit,eating out,59.17
4/9/24,Tuesday,puerto natales,credit,eating out,31.25
4/9/24,Tuesday,puerto natales,credit,eating out,18.89
4/10/24,Wednesday,puerto natales,credit,eating out,14.87
4/10/24,Wednesday,punta arenas,credit,eating out,65.96
4/11/24,Thursday,punta arenas,credit,eating out,22.76
4/11/24,Thursday,punta arenas,credit,eating out,22.31
